tweet;durum
bu turkcell çok piç öyle böyle değil;2
ilişkiler karşılıklı olmalı :))1 hafta süre karşılık almazsamsilerim seni ...:);2
Ankara Kocatepe'de çalışıyorum. Kızılaya 500metre. Fakat altyapı nedeniyle fiber internet kullanamıyoruz.;2
sayın genel müdür, ben bir turkcell kullanıcısıyım. hatay reyhanlı da yaşamaktayım. bulunduğumuz yerde malesef turkcell;2
135 gündür hattıma tl yüklemyiormuşum. Ben fakirim Turkcell affet.;2
ipohe 4 üm ile alakalı TURKCELL ve GENPA ile büyük sıkıntılarım var. nasıl çözüm bulabiliriz?;2
Tatlım senin hattın Turkcell değil mi? Ben gene sömürüldüm mesaj atarken :D;2
891.000 Abone kaybından sonra elinde ki 532 li hatları bedava dağıtmaya başladı :)) Yazık sana canım yaa! Çaresizliğin son noktası;2
ya ben artık yorum yapmıyorum zaten Turkcell de msj atıp duruyo mercimek köftesi yapıcam ben cumartesiye hazırlanmam lazım :D;2
Bu da alana kadar müşterimsin sonra ne halin varsa gör diyen bir anlayış vee numara taşıma numaralarına dikkat!!;2
ahahaha kanka Turkcell seni rahat birakmiyo fksnfksj;2
vay alçak turkcell;2
Ve turkcell'den aldığım iPhone sağlıklı çalışmıyor.daha söyleyecek cok şey var ama daha sonra söylerim;2
Iyiki bbm var mesaj gelince amaan turkcell den gelmistir deyip gecmiyorum;2
Baz istasyonu monte ederim sana. O turkcell açılacakk arkadaşş!;2
Turkcell cekmiyormu yani;2
bir an evvel cevap bekliyoruz. biz burada hayatı sevdiklerimizle değil kimseyle paylaşamıyoruz.;2
istanbulda  nın çekim problemi yok,  1 GB 3G internet 14 Lira, türkcell ve vodafonun yarı fiyatı bile değil;2
#turkcell bilgi mesajları b.kunu çıkardı ama gece gecede bu kadar yüklenilmez ki...;2
Turkcell yerine ben mesaj atıcaktım ama fazla ilgiden soğursun dıye atmadım.;2
156 gundur Tl yuklemiyomusum ahahahaha artik turkcell sevgili musterimiz demiyo bana surekli anamin telefonundan Tl aktardigim icin.;2
linkteki haber i okuyun ama sonuna kadar reklam tekniğin süper turkcell ağzına sıçimmm;2
Turkcell'i arayıp isyan edicem şimdi.bikere olsun faturamı gelmesi gerektiği gibi yollamıyolar !;2
kontor yukle kocan olsun turkcell kanka ahahahahahaha :D;2
citysdeki Turkcell tam bir dolandırıcı, iPhone4 kontratli fiyat sordum 124ten başlıyor dediler yalan yanlış bilgi veriyorlar;2
Bundan sonrasını   düşünsün biz de gayet memnunuz vodofondan.;2
Şu son avea reklamından etkilendim. 4 TL'ye 100 DK Her yöne.. çok iyi tarifeler var. Turkcell yeter!;2
oha süperonline da bile kesiliyosa ölelim biz :(;2
10 senedir turkcell iletisim merkezlernde muhattap oldgm butun erkek temsilciler  APTAL !!!;2
kirmizidayim arammisin ulasamiooruz birbirimize malum turkcell cekmioo;2
lanet olsun turkcel...;2
İyiki bi nar paketimiz bitti turkcell 10 saniyede 3 mesaj attı;2
git babanı kandır;2
O degilde türkcell hala beni bulupta 10 saniyede bir tweet atmadi bana bir aksilik var bu iste;2
"""183"" umarım bu rakamın sonunda ""tl"" ibaresi yoktur :-) Turkcell deyince aklıma sadece fatura geliyor :-)";2
2 saat once kontor yukledım ama hala sms ım yenılenmedı bok ye turkcell.BOK YE;2
Dur bi mesaj atıyımda sevdiğinden geldi sansın. -Turkcell.;2
10 tl mi 20 tl yapma türkcell sus bi mınakodum ya sus saat başı mesaj mı atılır;2
Dur bi mesaj atalım sevgilisinden zannetsin.  -Turkcell.;2
Çözüm varmı bizde hala superonline çözüm bulamadı :);2
4 çeker diye reklam yapıp Dogan görünümlü sahin kıvamında kalansin;2
4ceker turkcell sanirim bi tek benim oldugum yerlerde cekmiyo..;2
şu 3 günlük superonline deneyimim sonucu söyleyeyim: öyle bişey yok. :);2
Yaptıgın ıs ıs degıl. Adam 2 ıPhone alacak dıye benden sonra gelmesıne ragmen ben bekletılıyorum suyun ısınıyor ha;2
Internet paketimi iptal edemiorum yardm edersnz sevinrm...;2
Medyada yer alan 'olumsuz haberler klasörünün' Turkcell Genel Müdürü Süreyya Ciliv'e gösterilmediğini düşünüyorum ciddi ciddi;2
bi kaç gun smsın olmayabılır turksel farkı huhu;2
"paylasmak guzel biz onunla paylasiyrz o da bizimle cihazlari paylassa da sloganin hakkini verse turkcell ;)";2
Öf be amip Turkcell sinirlerimi bozuyosun !;2
"""Sevgili paylasinca guzel"" ne demek Turkcell ya ?";2
Mesaj alamiyor,yaklasik 2haftadir mesajciklarimi goremiyorsam bu senden vazgececegim anlamina gelebilr Turkcell.Ne merem seymissin sen boyle;2
bu neya şimdi oldumu turkcell  yakıştımı sana :) srkn;2
kesnlikleee turkcell i kapattr hemen:);2
senden şimdi formspring'den soru ile yardım isteyecektim canısı. telefon hala kıpırdamıyor. turkcell'i dürtebilir misin aşk için?;2
Brawo turkcell simdiden cekmiyor!;2
bi sabahta öperek uyandır be turkcell ...!;2
Her evrakım ve ödemem tamam ama tel.kapalı.agır hastam var.LANET OLSUN SANA TURKCELL.Ölmek istiyorummmm;2
cevap versene lan?;2
su anda nisantasinda iletisim kopmus durumda haydi RT #3kelimeyle2011 Nisantasinda Turkcell Cekmiyor!!!;2
Ben cevap vermiştim aynı durumu senin için dusunuyordum bu turkcell aramızı acıcak ! :);2
TURKCELL kullansaydın atardım sana ama turkcelli degilsin :P sözde TURKCELL de calsıyorusun :P;2
Önce bedava dakikan bitti dedin, sonra hiç eksilmeyen bir 589 dk. verdin, şimdi de 55 dakikan kaldı diyorsun.N'apmaya çalışıyorsun Turkcell?;2
umursarsın dımı  ?? mesajı aldılar bence : );2
protestom var: turkcell kasınma sabrımı tasırma;2
Bu turkcell'in bana karşı boş olmadıgını sölemişmiydim sizi , gecenin bu saatinde hanginize böle üst üste mesaj atıyor hanginizeee :|;2
aralik bitiyor, turkcell dergilik uygulamasinda hala kasim sayilari duruyor yeni diye. Yakismiyor turkcele hic;2
benden cekecegi var.;2
amk turkcell seysi sms yapmadii hala ve arayamam mal;2
Bloguma İstanbul'dan yorum bırakan Superonline müşterisi: Git kendinle kafa bul. Tabi bulman için kafa lazım, neyse..;2
turkcell'e sor deki alihanın mesaj paketini neden bitirdiniz?;2
Oha amk arkadaşla 14 dk konuştuk 6 Tl 22kurus gitmiş. Resmen soyuldum türkcell tarafından...;2
gerçekten ttnetden hızlıysa esos geçecem Superonline'a sinir oldum valla bu kadar yavaş olamaz birnet :S;2
Oha çok iyi de, Turkcell'in bahsettiği fiyat bunun çok üzerindeydi..;2
"#hayattansogutanseyler her şey süper hızlıyken bir sürü download yaparken superonline'dan ""adil kullanım kotanızın..."" maili gelmesi. piçler";2
İki sattir telefonuma msj gelip duruyo her seferinde turkcell oluyo ama bende her seferinde heyecanlanıyorum bundan sonrakine bakmıycam .P;2
vodafone cepnet and turkcell vınn kamu :(;2
Kımle bu kadar konusuyorsam her ay turkcell kıtlıyoooooor!;2
Levent'de Turkcell 3G yalan. Avrupanın en hızlısı buysa, tüm Avrupa'ya acıdım şimdi.;2
#turkcell biraz daha bonkör olabilirsin.;2
Bugun modem icin kablo almam gerekiyodu uyumusum bi allahin kulu arayip rahatsiz etmemis her zaman hal hatir soran turkcell bile yazmamis;2
4 cekermish! Kactir kesiliyor konusmanin ortasinda! Yalan dolan reklam yapacaginiza azcik yatirim yapin..;2
Bu gece 23:59 da mesaj atıyımda sevdiginden sansın gerizekalı  -Turkcell;2
Neyse demin sessiz telefondan, sesli telefona geçtik :);2
hatların da sürekli kesilmesi Tcell göçügu mü yoksa iPhone kazığı mı onu daha çözemedim! Ama kabus bağlantılar!!;2
hala çok pahalısınız;2
hayir birde telefon edip kontrol edicez diyip hicbi gelisme olmuyo. Devlet dairesinde burokrasi sizde daha beter durumda;2
millet telefonuna mesaj gelince ''aaa kesin o :)):))'' diye pırpırlanıyor. Ben direk '' yine Turkcell'dir amk.'';2
İnternet paketimin bytelari yerinde sayıyor insallah turkcell sonunda öpmez beni :);2
noturkcell vodafone avea :);2
Bu fiber Internet problemleri de cok olmaya basladi. Bir degil iki degil aliskanlik haline geldiartik #superonline;2
kesin olan birşey var, turkcell ve ekibinin bulaştığı tüm işlerden nefret ediyorum! FİZY'nin içine etmişler maşallah...;2
Ne zaman Tweet'er yada Facebook'a girsem benim Turkcell 2G ye geçiyor.Alacam ayagımın altına.;2
#TURKCELL hat almayın salaklıp edipte..en büyük yanlışı yaparsınız.bildiğiniz adamı yağlı kazığa oturtuyorlar.;2
Mesajsa turkcell arayansa annemdir. Cok yalnizim yaa hayat cok acimasiz :(;2
4 çekmez , turkcelli pencere kenarlarında ancak acı çeker...;2
eleştirenlere inat, turkcell ile savaşınızdaki gelişmeleri tweetlemenizi bekleyenler var :);2
twitter'ın Güzin Ablası oldunuz. Ben de Turkcell den şikayetçiyim. 2 aydır sorunumuzu gidermediler dikkat! gideremediler değil!;2
iPhone 4S Reklamında Sadece Kameraya Dikkat Çekmesi,Sanki iPhone Başka bir işe yaramıyormuş havası veriyor.Beceriksiz bi reklam;2
İbne turkcell somurdun ulan somurdun nasıl sovuyorum şimdi sana belli değil :);2
Bir uzaylı gelse de Turkcell reklamlarını izlese, müşterilerine ay sonu kol gibi fatura göndermiyor da, her sabah öperek uyandırıyor sanır:);2
ilk defa turkcell i kazıkladım ahhahaha;2
en kısa süRe içiNde supeRonLine iLe oLan iLişkimi biTiriyoruM,iLanen duyRuLur..;2
ondan önce seninle bi turkcell hattan konuşmamız gereek geçen gün senle mesajlaştıktan sonra bütün kontrlerim bitti :D;2
#hayatpaylasincaguzel 3G m calismiyor turkcell duy beni;2
uzgunum aslinda, nursen duy beni ve turkcell bizi ayirmasin artik, beril sende ac su telefonu soru cozucektin bana;2
canım sevgilim turkcell yeter artık terket beni! neden hep birinden msj beklediğim bi zaman da atarsın ki o msjlarını.;2
bir haftadir gezdigim 4. turkcel timdeym kimse modem teslimi almaya yanasmiyor beceremiyor ve istemiyolar...adami cildirttilar;2
Kimbilir kaç para olacak ki ayağına kadar getiriyorlar ama Turkcell TİM'de saatlerce bekletiyorlar bir işlem için..;2
Kubatin sesiyle katkida bulundugu igrenc turkcell reklami kaldrilsin .;2
Bi uyarsaydın hani turkcell! :s;2
#Turkcell in Hayat Paylasinca Guzel reklami emotional selling olayini fazla abartmis!Bilincaltina calismasi gerekirken,kor goze parmak sokms;2
268,60 tl #turkcell faturam. Amk;2
Bravo   12. Katta bile cekmiyosun ya, pessss;2
"pis adama bulastin trcell;)";2
turkcelde bir hizmet daha ucretle sessz sedasiz bulusms oldu 7565 telesekreter aman Dkt;2
ne kadar yaparsa yapsın ama Türkiye'nin internetinden bi çacık olmaz.İnternet ,teknoloji geride bi de istihbarat desen seviye 1...;2
Ohh Allaha sukur turkcell selo canlarina yilbasi reklami yapmamiss :) ne buyuk eksiklikkk anlatamam;2
bu turkcell ile vodafone u baş göz etmek lazım ekürim. o zaman hep beraber kurtuluruz bunlardan :));2
Bir türkcell'i olarak aveanın yeni reklamına bayıldım. İyi g.t etmiş şerefsizler. :D;2
Bu arada 3430 omurilik felçlilerine gönderilen SMS den 2 sms bedel kesmek nedir  #turkcell;2
elim telefona gidiyor şunu bir arasam mı diyorum hemen turkcell mantığımı harakete geçiriyor no many :(;2
Laaan turkcell kendi kendine mms lerimi yiyo sikicem busefer kavga etmicem;2
Sabah vapurda turkcell hayat paylaşınca güzel diyerek gazete dağtyor cumhuryet hariç bence hiç de güzel değil.;2
turkcell in onca sacmaligindan sonra vodafone tek bi kabahat islemis bise mi. Op basina koy bence :);2
bu eksik bilgi sonrası maduriyetiniz için özür dileriz de yok! en azından bundan sonra bu gibi işlemlerin 'extra' ya taife dışı;2
götürdüler aldıkları turkcel bayiine program çökmüş içinde demişler geri gönderdiler tel;2
iPhone paket aboneliginiz iptal edilmistir.  Ne demek;2
İzmir'in sokaklarında neden Turkcell'in o özel aşkımlı canımlı bitanemli kelimeleri yok lan ?;2
zamman tunelını ıptal etmek ıstıyorum yardımcı olurmusunuz;2
Yok yani yolda kaldık gel lastik değiş desek anlarız da zor iş bu çok basit yani turkcell seni mahvetmiş adamım;2
50tl yakıt alıyoruz 50dakika kazanmak için şifre yolluyoruz. Sonra mesaj geliyor arama yapıyoruz kontör gidiyor nerde kazanılan dk;2
kapalı alanlarda sıkıntılı ama yine de işimi görüyor. Avea'nın benzer paketi Turkcell'de 55 lira.;2
İnsan niye kendisine kazık atanlardan vaz geçemiyor. Mesela türksel. Soktukca sokuyorlar. Vazgeçilmez. Çünkü herkes türksel.;2
Edge hizinda internetin Allah belasini versin. Turkcell duy sesimi;2
bir sure once ben de ayni durumdaydim amac nedir bilniyorum:( sonra kesildi aramalar...;2
turkcell sasmis lan 30 tlye internet paketi mi olur;2
ayni sorunu ayin yedisinde bildirmistim su an cozulmedi turkcell mobil tv uygulamasinda lig tv den mac izlerken ekran;2
Turkcell tam kaltak ya :D;2
hahahahah :D ya yemin ederim bok gibi superonline ttnet daha iyidi :D;2
Mesajlarım neden iletilmiyor ? Ne boktan bir operatördür TURKCELL !!!;2
umarim bu mesajdan sonra bana geri donus yaparlar;2
cok sovdugun Tcell e geri mi dondun :D;2
bırak ya bis nedir ,ara git Tcell'e de faturayı kesip göndersin hallederiz :D;2
lanet olası bir turkcell li olarak vallahi aynı nağmelerden sıkıldım lan.. üşenmesem sırf şu cıvık reklam için geçicem.;2
yalancı superonline 14 aydır sınırsız olan internt hızını düşürmeye başladılar kotasız olan bağlantımın kotasını aşmışım;2
Ilk ve tek askim olan turkcell birak artik pesimii;2
benim bulunduğum şehirde yok ee şansımı kayıp etmiş oluyorum:((;2
bukadr yuksekk fiyataa helal olsnnn kampanyaa dieee yolladnzz;2
hayır yaaa turkcell gayet :(;2
Burdan GSM operatörlerine sesleniyorum. Sen turkcell ya sen vodafone sende avea. Vapurda artik telefonlar çeksin. You can easily realize.;2
kendilerinden haberleri yok ki “ Turkcell Superonline bolge yetkili bayisinin beni 542 li numaradan aramasina ne demeli”;2
internet o kadar yavaş ki premium account'dan download yaptığım halde free user'dan bi farkım yok resmen #superonline;2
yaaaaaa tam  kızıp iphone4s almayacağım dediğim anda bu bana yapılamaz! isyan ediyorum!;2
#parasineyseverelimde türkcell boş yere ikide bir mesaj göndermesin!!!;2
2012 ayvalık'ında turkcell çekmiyor;2
27 ağustos, Turkcell tarife bitişi. dokuz yıl önceki 250 tl yi bir türlü unutamadım. ihanet edersem belki unutabilirim;2
O.C. turkcell 2 senedır bana evde vınn kullandırıyosun ya ınsallah batarsın;2
yok dava acmam terk ederim;2
Bu twitten sonra hiç dönmeyecekler ama dönmesinler,Turkcell'e aylar oldu başvuralı,hiç başvurmayanı Turkcell'e aldılar,bana hala dönmediler!;2
lazım :)) Acun'a milyon $ verecez diye faturada bize döşüyor Turkcell :);2
"&gt;&gt;faturala, müsteri uyanık cıkıp hakkında ısrar ederse uzatmadan faturadan düş. Ben uzatmadaım, cunku Türkiye'de artık &gt;&gt;";2
"Bir gün turkcell şöyle bir msj atıcak; o kadar msj attım neden cevap vermiyorsun.!";2
sozlesmesini yaptiginiz aramadiginiz , aramalarina donmediginiz aboneleriniz dahil mi buna;2
Ne yapsam istek gecersizdir diyo Twitter, Sokucam once twitter a sonra Turkcell e;2
cep telefonuma gelen mesajlardaki kıran kırana kapışma, emniyet, garanti bankası, turkcell ve beşiktaş bld arasında devam ediyor.;2
20 Mbit/s  fiber internet hattimdan hala buffer beklemeden video seyredemiyorum #rezalet #superonline;2
ile  in yaptigi seyahat kampanyasi yerinde ama Aralik ayinda uyguladiklari sistem cok yanlis.;2
neredeyse kurulduğundan beri Turkcell kullandım AMA bu gece mobil modemle saatlerdir 56 k modem gibi bağlanınca seni terk zamadır;2
3tl durduk yere gitti Turkcell sürekli soyuyo :);2
Beni  kucakladı. Pess!;2
hayat paylaşınca güzel iğrençliğinin yanında oskar alır o fasulye reklamı :);2
varmı turkcellde öyle temsilci hiç bir sorun çözemeyen ve çözemezde vatandası sömürmek üzerine kurulu düzende başka paket sunalım;2
Bu ay turkcell faturamda kendi rekorumu kırdım heyoooo (ölçü kullanmak gerekirse de: kol gibi ....dıt dıt dırıt dıt.;2
bu kadarıda olmaz TURKCELL reklamında telefonla ses kalitesi yapan reklam filmi çakma çıktı :D buyrun kanıtı;2
Superonline fiber rezalet devam ediyor;2
bu arada telefonumu açtım, turkcell art arda 5 mesaj attı. korkmaya başladım. ben turkcell'i arkadaş olarak sevmiştim ama:(;2
"""Ayda saaaadece 20 liraya her yöne 200 dakika artııı 100 SMS veeeee tam tamına 100 mb internet""diye reklam yapan türkcell ne kafası yaşıyor?";2
Kimselere vermediğim diğer numaramı vereyim ben sana ordan şaapalım turkcell'in boku çıktı zaten.;2
Bu turkcell harbi Pic;2
merhabalar, şu internet paketlerinde bir düzenlemeye gitmezseniz 12 senelik bir 'Turkcell'liyi artık tamamen kaybedeceksiniz;2
mecidiyeköy'de edge. asmalı'da edge. taksim göbeği 18. katta arşta yine edge. bazen çok canımı sıkıyorsun #turkcell;2
Afedersin de turkcell cok kazik :D;2
Bu  in benle alıp veremedigi nedir ? İs yerimde çekmez evimde çekmez. Bide bangir bangir reklam yapar HD ses kalitesi diye, palavra;2
4 çeker 5 çeker hikayeeeeee  en az 4-5 kez cagrı merkezine telefon acmama rağmen TRABZON'da şehir merkezinde telefon cekmiyor;2
Merhaba,ben sevgilinizden mesaj beklerken gelen Turkcell mesaji,bana ettiginiz kufurleri biliyorum...;2
"Milleti kandırmayın lannn :Turkcell+Vodafone+Avea ayaginizi denk alınnn ;)";2
ben 3 yıldır turkcell kullanıyorum faturamın sabıt fıyatı 80 lira ama hiç 100 un altına ınmıyor. al reyis 2000 dk vodafone mis:);2
daha basarili musteri elinde tutma politikalari bekliyorum Turkcell den;2
Bi sesli mesajim var diye sevinirken o da turkcell çıktı ya, ne diyim sana turkcell! Defol git turkcell!;2
#turkcell iCloud reklamı yapıyor, yürü len;2
Burdan yetkılılere seslenıorm :  se se !!! Sattıgınız blackberryı turkcel desteklıo dıosunuz turkcell en merkezı yerde cekmıo? Ne ayaksınız;2
canım #turkcell msj göndermiş, hediye kazandın msj'larına itibar etme diye. beni seviyo. (gelip konuşmasını beklesem mi ben mi teklif etsem);2
ayda 6tl cok, fiyati indirin, ayda 3tl yeterli, fiyati indirin abone olalim.;2
Neden durduk yere kontorlerimi yiyosun ki Turkcell?;2
"""Sayın Süreyya Ciliv, klasör yok ama sizi olumsuz haberler konteynırına götürelim isterseniz"" :))";2
AYRILIK ZAMANI GELİYOR KAZIKCILAR.;2
Cumartesileri çalışmıyor musunuz?;2
allah belanı versinnn .;2
Eğer hattınız turkcell ise yalnız değilsiniz demektir. Yoksa hergün düzenli olarak kim mesaj gönderir.;2
vodofone'u yurtdışında kullanmak mantıklı ben turkcell ve aveada sorun yaşayanları gördüm ama vodofoneda ben dahil sorun yaşamdm;2
Bihter'cim bu Cumartesi parandan kesicem haberin olsun. Zira sana attığım SMS'in haddi hesabı yok. Turkcell bu ay beni öpecek. :);2
internet pktm bittti yeniden yaptım  cok pahalı ya hiç öğrenciyi düşünmüyo :);2
Turkcell gibi fiyat çekecekseniz hiç getirmeyin.;2
kampanya iptali teyidi için 2 gün telefon etmesi beklenilen, sinirlenince hattı iptal etme başvurusunun 10. dk.sında arayan firma;2
Bu turkcell interneti o kadar yavas ki evin wifisi bile daha hizli;2
Bugun 532 yani turkcell musteri hizmetlerinin beni 5. Aramasi bilgisayar takildi kaldi sanirim otomatige bagladi imdatt;2
erol köse:Turkcell bayisinde ''kontör bulunur'' yazısı bana Aziz Nesin'i hatirlatti..yok molped mi saticaktiniz....;2
reklamlarınızdan nefret ediyorum;2
Sevgili Turkcell dandik operatörler metroda çekiyor, Turkcell neden çekmiyor :(;2
zuzu turkcell 2 gündür mesaj atmıyo kesin baska biri var :(;2
Dur bi mesaj atalimda sevgilisinden geldi sansin -turkcell;2
hahahaha turkcell i örnek alarak sende onları soyuyorsun :D;2
"o hep yanımda oldu hıcbır zaman benı yanlız bırakmadı o  en cok duydugun ısımdı cunku o "" turkcell"" dı sen ne beklıyodun kı amk";2
bu superonline  adil kullanım hakkı tam bi şark kurnazlığı;2
20tl mi 100 tl yapmana gerek yok turkcell yukler yuklemez -563554 tl yapmasan yeterdi;2
Bir cihaz kaydini 1,5 saatte yaparak cumle bekleyenleri cileden cikaran Kanyon #Turkcell i yilin musteri hizmetleri merkezi ilan ediyrm;2
sebebiyle telefonlarında kesik olması düşünülürse insanlar adsl gunlerini arar hale geldiler. superonline = berbat alt yapı..beceriksizlik !;2
kimse turkcell degil bari avea geceyim.;2
çözüm merkezi lütfen duyun sesimi ve beni arayıp sorunumu çözün artık 48 saat olcak !!!;2
Mesajim gitsin diye arkadan bi bos mesaj daha gonderiyorum tesekkurler #turkcell daha fazla ne isteybilirim kii???;2
turkcell'in tersi pistir.;2
20 Mbit/s fiber  hattindan 1 dk lik 360p video nun gelmesi 7-8 dk suruyor. Gercekten super.. #rezalet #superonline;2
“RT: Turkcell'den müthiş kampanya: Siz hattınızı Turkcell'e geçirin, biz de size geçirelim.”;2
Ne oldu? 8 günde 10bin  çisi KORKUTTU mu seni?;2
...yada ceremesini ben çekiyorum. Sanırım artık 13 yıllık Turkcell hizmetini değiştirme vakti geldi. Vadafone haklı galiba.. Pess....;2
Bu turkcell reklami ne kadar ic karartici. İlk defa kac gundur tv izliorumda...;2
"in iphone 4s sloganı cok amotrce olmus:""Bugune kadar yapılmıs en iyi Iphone"":)";2
Dur bi mesaj atalım da sevgilisinden zannetsin.  -Turkcell;2
kontörlü hatlarda temlikli cihaz alabiliyor   duyuraydınız iyiydi.;2
hahahahaha bnm arkadaslarim var ben seni vodafone da ise sokarim :) bosver trcell i :);2
3 aydır turkcell den arıyolar inadına açmıyorum,yok sesli mesaj falan bırakmalar yemezler öyle kolay kolay.;2
kendisi taahütlerin yerine getirilmesini karşıdan beklerken, kendi taahütlerini yerine getirmeyen şirkete superonline denir.;2
Dogru bilgiyi alabilmek icin ne yapmam lazim illa kavga illa siddet off turkcell offf !!!!!;2
#Superonline  Adil Kullanım Kandırmacasına kaşı açılan davalarda kaybetmeye başladı. Mağdursan sende dava et.Bilgi için:;2
hocam son vodafone reklamındaki 'kardelen' dikkatinizi çekmiştir..nasıl bir mesaj var sizce turkcell'e ??;2
kim girsin, kim ciksin, avea,vodafone 40 kurus, turkcell 50 kurus, turkcell, show tv ,digiturk hepsi karamehmet'in, ilginc dimi!;2
32 dakikadır turkcell'in teknoloji uzmanıyla konuşuyordum bir türlü yapamadık mms ayarlarımı;2
MOODY'S, TURKCELL'IN ORTAGI TELIASONERA'NIN KREDI A3 OLAN NOTUNU TEYIT ETTI, GORUNUMU DURAGAN'DAN NEGATIF'E CEVIRDI;2
beni bu hale getiren türkcell utansın:) zorla internet paketi kitledi...;2
Madem turkcell hediye 700 sms verdi, idareli kullanmak lazim ;2
Patronumuz Turkcell'den gelen yemek tarifi SMS'lerini yuksek sesle okuyup duruyo sabahtan beri. Allah seni kahretmesin Turkcell!;2
:) hakketten ya turkcell e sinir oluyorum :);2
Bazen o kadar uyuzsunuz ki başka operatörün kapısından dönüyorum. Ama harbi az kaldı! İnternet paketi diye ilimi kuruttunuz!!!;2
Merhaba.  sizden cevaplayip 1'e bastiginiz her ödemeli arama için 29krş ücret aldigini biliyor muydunuz? Artik biliyorsunuz.;2
bi turkcell mesaj atıyo bi de turkcell ve bi de turkcell :(;2
sertap erener'i benim hattıma davet ediyorum baksın bakalım turkcell 4 mü çekiyo-muş.kafamı yediğimle kaldım :);2
Internet paketim var, sms paketim var, daha ne diye liralarımı sömürüyosun gerizekalı turkcell?;2
Bi turksel bi de dijiturkten cektigim kadaaar ....... :;2
Allah belani versin , bikmadin mi durduk yere surekli para almaktan ?!;2
İnanır mısınız şu anda internet paketim yok hatta tl'mden de gitmiyor. Hep turkcell bizi kazıklayacak canım :D;2
tcell benmle hayata bağlan dedi faturada bana bi koydu...soluğu vodafone'da aldım:));2
"Ölmeden önce söylenen son sözler; (calisilan sirket turkcell)Sayın patron arkadaşlarla birlikte topluca vodafone'a geçiyoruz (toplu katliam)";2
Okulda Turkcell'liler internete giremiyor. Mit'ten falan şüphelenmeye başladık artık;2
Avea 'ya sadece buradan bi yazı yazdım anında telefonla ulastılar :)))) kıskan , çatla , patla   !!;2
muteahitlerinin akşamdan hiç bir uyarı yapmadan sokağı kazıp bizi arabayla mahsur bırakması büyük bir Internet hizmeti oldu;2
vınn kamu paketine üyeyim.Bir mesaj geldi ve Paket aşım ücretinden bahsediyo,abone olurken limit bitiminde otomatik kesilecekdi ?;2
+bir çok kötü bir tane iyi etmiyor maalesef.. bu uygulamaların hepsi çöp yığını.. shubuo'dan beri ders almadılar,çok beceriksizsin turkcell!';2
Evde telefonum çekmediğini anlatmak için mail attım. aradık sizi ulaşamadık diye cevap geldi:);2
Özümle 47dk 13 snye konuştuk turkcell bize dua ediyodur şimdi :D;2
oyle cevap yazdim tcell'e.size ihtiyacim yok diye.;2
çekirge ssk civarlarında türkcell s.çmış durumda  tek diş hat var be utanç verici bir durum utandım ben şahsen:;2
o deilde bugün turkcell hiç msj atmadı amk kesin başka biri var :(;2
ya birakin su kampanya ayaklarini da 3G'nizi, istanbulun merkezinde telinizin cekmemesi sorunlarina yonelin!;2
biz superonline baglattik ilk, ama hiic calismadi. Arkadaslarimin da basina geldi. Iyice arastir abi.;2
2 dakikada bir kesilen sevgili superonline beni çıldırtma lütfen...;2
mesajj atıp durmaa yeteerr!;2
0 facebook kapanıyo sms 14 tl smsi olmayanlar facebooktan mesaj atamıcağı için sms yapmak zorunda olduğumuzu düşünmüştür kesin o.ç türksel;2
kazanmayalim diye yapilan, bitmesine ramak kala duyurulan kampanya. Herseyi sms atarken, buna dair sifir sms;2
sana attigim msjlar gelmiyi turkcel bizi sevmii :D;2
Bu Turkcell den yediğim 3. Kazık hala reklam yapıyorlar bide kaliteli iletisim diye.. Stoklarından bile haberi olmayan kurum yazık size!!!;2
bana msj atan da yok ama tcell ne biliyim sikindiri boktan giysi firmaları falan filan çook yalnızımmm :( :P;2
sen ne zaman bu milleti APTAL degilde, ABDAL yerine koyacaksin!!!;2
#turkcell #avea Ariköy sitesi akkavak sokak no 11 uskumruköy sariyer'de telefon cekmiyo, 1 aydir ariyorum sizi bi vericiyi tamir edemediniz;2
#turkcell wc'deki çekim gücünle beni ergene bağlatacaksın yani bunu diyorum benden kork.;2
Pahalıymıs amma kaliteliymiss...  faturayı gorunce oynamaya basladım bende;2
Kendini düzeltmeyi neden denemiyorsun;2
O.ç. Turkcell 0.facebok'dan para alıyo.;2
Biri caktirmadan telimi alip geceleri birini mi ariyor anlamadim ki 1000dkyi asmam imkansizken bu fatura ndn boyle. Ahh turkcell ahh...;2
"dan 50mbit aldık video bile izliyemiyorum müşteri hizmetleride berbat nerden ttneti bıraktım ya ttnet 8mbit &gt; süperonline";2
Ruyamda liralarim -25e dusuyordu. Ruyama bile giriyorsun Turkcell, hain seni.;2
sanirim 3G baglanti sorunu var, surekli Edge oluyor ve internetim kesiliyor!!!;2
"Bir turkcell kavgasini daha kazandim(; turkcell yine faturamda indirim yapti (;";2
Selini aricaktim ama arayamiyoruum salak trcell :(;2
meğerse hesabını çalanlar beni de kazıklamışlar 84+84= 168 tl kazık girmiş oldu faturama ve turkcell bu konutyla ilgili;2
Bende Turkcell'liyim ama bende bu sevdadan gram yok :S;2
En kısa zamanda turkcell den bosanıcam;2
Paylaştıkça çoğalan sevgine sokim be Turkcell!! Adam rakı içmelik reklam müziği yaparmı be??;2
lanet olsun metroda çekmeyen Turkcell'e o zaman :);2
